MS,MS Name,CCI,Ver,Title,Fund,Priority,TO,To short,Category of region,EAFRD MEASURE,EAFRD FA,EU Amount,National Amount,Total Amount,EU co-financing,TO long
CZ,Czech Republic,2014CZ06RDNP001,1.3,Czech Republic - Rural Development Programme (National),EAFRD,P3,1,Research & Innovation,n.a.,M16,FA_3A,56161897,18720632.33,74882529.33,75%,"Strengthening research, technological development and innovation"
CZ,Czech Republic,2014CZ06RDNP001,1.3,Czech Republic - Rural Development Programme (National),EAFRD,P4,1,Research & Innovation,n.a.,M02,FA_P4,2853233,951077.67,3804310.67,75%,"Strengthening research, technological development and innovation"
CZ,Czech Republic,2014CZ06RDNP001,1.3,Czech Republic - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5C,1106250,368750,1475000,75%,"Strengthening research, technological development and innovation"
CZ,Czech Republic,2014CZ16M2OP001,1.2,OP Prague – Growth Pole,ERDF,1,1,Research & Innovation,More developed,n.a.,n.a.,62492932,62492932,124985864,50%,"Strengthening research, technological development and innovation"
CZ,Czech Republic,2014CZ16RFOP001,1.2,Enterprise and Innovation for Competitiveness,ERDF,1,1,Research & Innovation,Less developed,n.a.,n.a.,1352544411,1352480177,2705024588,50%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP003,1.2,Germany - Rural Development Programme (Regional) - Baden-Württemberg,EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2A,16200000,16200000,32400000,50%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP003,1.2,Germany - Rural Development Programme (Regional) - Baden-Württemberg,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,8750000,8750000,17500000,50%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP003,1.2,Germany - Rural Development Programme (Regional) - Baden-Württemberg,EAFRD,P4,1,Research & Innovation,n.a.,M02,FA_P4,1400000,1400000,2800000,50%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP003,1.2,Germany - Rural Development Programme (Regional) - Baden-Württemberg,EAFRD,P4,1,Research & Innovation,n.a.,M16,FA_P4,1400000,1400000,2800000,50%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP003,1.2,Germany - Rural Development Programme (Regional) - Baden-Württemberg,EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5B,1650000,1650000,3300000,50%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP003,1.2,Germany - Rural Development Programme (Regional) - Baden-Württemberg,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5E,350000,350000,700000,50%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP003,1.2,Germany - Rural Development Programme (Regional) - Baden-Württemberg,EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6A,400000,400000,800000,50%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP004,1.3,Germany - Rural Development Programme (Regional) - Bavaria,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,2000000,2000000,4000000,50%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP007,1.3,Germany - Rural Development Programme (Regional) - Berlin + Brandenburg,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,20464161,5116040.25,25580201.25,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP007,1.3,Germany - Rural Development Programme (Regional) - Berlin + Brandenburg,EAFRD,P4,1,Research & Innovation,n.a.,M02,FA_P4,2000000,666666.67,2666666.67,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP007,1.3,Germany - Rural Development Programme (Regional) - Berlin + Brandenburg,EAFRD,P4,1,Research & Innovation,n.a.,M16,FA_P4,3248000,812000,4060000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP007,1.3,Germany - Rural Development Programme (Regional) - Berlin + Brandenburg,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5E,4700000,1175000,5875000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP007,1.3,Germany - Rural Development Programme (Regional) - Berlin + Brandenburg,EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6B,7000000,1750000,8750000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP010,1.5,Germany - Rural Development Programme (Regional) - Hesse,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,3200000,800000,4000000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP010,1.5,Germany - Rural Development Programme (Regional) - Hesse,EAFRD,P3,1,Research & Innovation,n.a.,M16,FA_3A,400000,100000,500000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP010,1.5,Germany - Rural Development Programme (Regional) - Hesse,EAFRD,P4,1,Research & Innovation,n.a.,M16,FA_P4,200000,50000,250000,80%,"Strengthening research, technological development and innovation"
