EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2016;6;61;612;6129;Fondo Contingencia;Fondo de Contingencia de Ejecucin Presupuestaria
2016;6;61;615;6152;Act Programas Europeos;Actuaciones relativas a Programas Europeos
2016;6;62;622;6221;Ordcin y Prom Comercial;Ordenacin y Promocin Comercial
2016;6;62;623;6231;Comerc Ext. y Rel.Ec. Int;Comercio Exterior y Relaciones Econmicas Inter
2016;6;63;631;6311;Gestin e Inspec Tributos;Gestin e Inspeccin de Tributos
2016;6;63;631;6312;Control Interno y Contab;Control Interno y Contabilidad
2016;6;63;631;6313;Gestin del Patrimonio;Gestin del Patrimonio
2016;6;63;631;6314;Gestin de Tesorera;Gestin de Tesorera
2016;6;63;631;6315;Estudios Econ y Regulaci;Estudios Econmicos y Regulacin
2016;6;64;641;6411;Jta Cons. Contr.Ad y Reg;Jta Consultiva Contratacin Admtva y Registros
2016;6;64;642;6421;Acts. Defensa Competencia;Actuaciones en materia de Defensa de Competencia
2016;7;71;711;7111;Serv.Gen. Desarrollo Rural y Sostenibilidad;Serv.Gen. Desarrollo Rural y Sostenibilidad
2016;7;71;712;7121;Dllo Agroalim y Fmto Asoc;Desarrollo Agroalimentario y Fomento Asociativo
2016;7;71;712;7122;Coordinacin y Gestin de Servicios Agroambientale;Coordinacin y Gestin de Servicios Agroambient.
2016;7;71;712;7123;Produccin Agraria y Gestin de Ayudas;Produccin Agraria y Gestin de Ayudas
2016;7;71;712;7128;Poltica Agraria Comunitaria;Poltica Agraria Comunitaria
2016;7;71;716;7161;Calidad y Seguridad Alimentaria;Calidad y Seguridad Alimentaria
2016;7;72;722;7221;Act Admtvas sobre Industria;Actuaciones Administrativas sobre Industria
2016;7;72;723;7231;Fomento Industrial;Fomento Industrial
2016;7;73;731;7311;Fmto y Gestin Energtica;Fomento y Gestin Energtica
2016;7;73;731;7312;Apoyo a la Minera;Apoyo a la Minera
2016;7;75;751;7511;Ordcin y Prom y Fmto Turismo;Ordenacin, Promocin y Fomento del Turismo
2016;9;91;911;9111;Transfer AA.PP. Comarcal;Transferencias a Administraciones Comarcales
2016;9;91;911;9112;Cohesin Comarcal;Cohesin Comarcal
