EJERCICIO;GRUPO;FUNCION;D;SUBFUNCION;F;PROGRAMA;H;DESCRIPCION CORTA;DESCRIPCION LARGA
2016;4;42;FALSE;422;FALSE;4223;FALSE;Educacin Especial;Educacin Especial
2016;4;42;FALSE;422;FALSE;4224;FALSE;Enseanzas Artsticas;Enseanzas Artsticas
2016;4;42;FALSE;422;FALSE;4225;FALSE;Educacin Permanente;Educacin Permanente
2016;4;42;FALSE;422;FALSE;4226;FALSE;Plan Aragons de F.P.;Plan Aragons de Formacin Profesional
2016;4;42;FALSE;422;FALSE;4227;FALSE;Formacin del Profesorado;Formacin del Profesorado
2016;4;42;FALSE;422;FALSE;4228;FALSE;Educacin Universitaria;Educacin Universitaria
2016;4;42;FALSE;422;FALSE;4229;FALSE;Eval. Calidad Enseanza S;Evaluacin de la calidad de la Enseanza Superior
2016;4;42;FALSE;423;FALSE;;TRUE;Becas y Ayudas;Becas y Ayudas
2016;4;42;FALSE;423;FALSE;4231;FALSE;Innovacin, Equidad y Participacin;Innovacin, Equidad y Participacin
2016;4;43;FALSE;;FALSE;;TRUE;Vivienda y Urbanismo;Vivienda y Urbanismo
2016;4;43;FALSE;431;TRUE;;TRUE;Vivienda;Vivienda
2016;4;43;FALSE;431;FALSE;4311;FALSE;Promocin y Admn.Viviendas;Promocin y Administracin de Viviendas
2016;4;43;FALSE;431;FALSE;4312;FALSE;Gestin Social de la Vivienda;Gestin social de la vivienda
2016;4;43;FALSE;432;FALSE;;TRUE;Urbanismo y Arquitectura;Urbanismo y Arquitectura
2016;4;43;FALSE;432;FALSE;4321;FALSE;Urbanismo;Urbanismo
2016;4;43;FALSE;432;FALSE;4323;FALSE;Arquitectura y Rehabilitacin;Arquitectura y Rehabilitacin
2016;4;44;FALSE;;FALSE;;TRUE;Bienestar Comunitario;Bienestar Comunitario
2016;4;44;FALSE;442;TRUE;;TRUE;Protecc y Medio Ambiente;Proteccin y Medio Ambiente
2016;4;44;FALSE;442;FALSE;4422;FALSE;Protecc y Mejor Medio Amb;Proteccin y Mejora del Medio Ambiente
2016;4;44;FALSE;442;FALSE;4423;FALSE;Gestin Ambiental;Gestin Ambiental
2016;4;44;FALSE;443;FALSE;;TRUE;Otros Srvcios Bstar Com.;Otros servicios de Bienestar Comunitario
2016;4;44;FALSE;443;FALSE;4431;FALSE;Control del Consumo;Control del Consumo
2016;4;45;FALSE;;FALSE;;TRUE;Cultura;Cultura
2016;4;45;FALSE;452;TRUE;;TRUE;Archivos,Bibliot y Museos;Archivos, Bibliotecas y Museos
2016;4;45;FALSE;452;FALSE;4521;FALSE;Archivos, Museos y Bibliotecas;Archivos, Museos y Bibliotecas
2016;4;45;FALSE;452;FALSE;4522;FALSE;Gestin de Bibliotecas (No operativo);Gestin de Bibliotecas (No operativo)
2016;4;45;FALSE;455;FALSE;;TRUE;Promocin Cultural;Promocin Cultural
2016;4;45;FALSE;455;FALSE;4551;FALSE;Fom y prom lenguas propias;Fomento y promocin de las lenguas propias
2016;4;45;FALSE;455;FALSE;4553;FALSE;Prom y Accin Cultural (No operativo);Promocin y Accin Cultural (No operativo)
2016;4;45;FALSE;457;FALSE;;TRUE;Deportes y Educ Fsica;Deportes y Educacin Fsica
2016;4;45;FALSE;457;FALSE;4571;FALSE;Fom y apoyo Activ. Depor;Fomento y apoyo a la Actividad Deportiva
2016;4;45;FALSE;458;FALSE;;TRUE;Patr. Hist-Artst y Arqu.;Patrimonio Histrico-Artstico y Arqueolgico
2016;4;45;FALSE;458;FALSE;4581;FALSE;Promoc. de la Cultura y Prot. del Patrim. Cultural;Promoc. de la Cultura y Prot. del Patrim. Cultural
2016;4;46;FALSE;;FALSE;;TRUE;Otros Srvcios Com. y Soc.;Otros Servicios Comunitarios y Sociales
2016;4;46;FALSE;463;TRUE;;TRUE;Asoc y Partic. Ciudadana;Asociacin y Participacin Ciudadana
2016;4;46;FALSE;463;FALSE;4631;FALSE;Elecc. Institucionales;Elecciones Institucionales
2016;5;;TRUE;;FALSE;;TRUE;Prod.Bien P carac.econom.;Producc. de Bienes Pblicos de Carcter Econmico
2016;5;51;FALSE;;TRUE;;TRUE;Infraestructuras Bsicas;Infraestructuras Bsicas y del Transporte
2016;5;51;FALSE;511;TRUE;;TRUE;Admn G. Infr. Bsic.Tte;Administracin General de Infr. Bsicas y del Tte
2016;5;51;FALSE;511;FALSE;5111;FALSE;S G Vert. Territorrio, Movilidad y Vivienda;Serv.G. Verteb. Territorrio, Movilidad y Vivienda
2016;5;51;FALSE;512;FALSE;;TRUE;Recursos Hidrulicos;Recursos Hidrulicos
2016;5;51;FALSE;512;FALSE;5121;FALSE;Gest e Infr Recur Hidrul;Gestin e Infraestructura de Recursos Hidrulicos
2016;5;51;FALSE;513;FALSE;;TRUE;Transporte Terrestre;Transporte Terrestre
2016;5;51;FALSE;513;FALSE;5131;FALSE;Carreteras;Carreteras
2016;5;51;FALSE;513;FALSE;5132;FALSE;Transportes;Transportes
2016;5;53;FALSE;;FALSE;;TRUE;Infraestructuras Agrarias;Infraestructuras Agrarias
2016;5;53;FALSE;531;TRUE;;TRUE;Reforma y Dllo Agrario;Reforma y Desarrollo Agrario
2016;5;53;FALSE;531;FALSE;5311;FALSE;Mej Estr Agrar y Dllo Rur;Mejora de Estructuras Agrarias y Desarrollo Rural
2016;5;53;FALSE;531;FALSE;5312;FALSE;Des. Sost. Medio Rural;Desarrollo Sostenible en el Medio Rural
2016;5;53;FALSE;533;FALSE;;TRUE;Mejora del Medio Natural;Mejora del Medio Natural
2016;5;53;FALSE;533;FALSE;5331;FALSE;Prot y mejora Medio Nat.;Proteccin y mejora del Medio Natural
2016;5;53;FALSE;533;FALSE;5332;FALSE;Cons. Biodiv. y Des.Sost;Conservac. de la Biodivers y Desarrollo Sostenible
2016;5;54;FALSE;;FALSE;;TRUE;Invest Cient, Tc y Aplic;Investigacin Cientfica, Tcnica y Aplicada
2016;5;54;FALSE;541;TRUE;;TRUE;Ad G. Innovacin, Investigacin y Universidad;Adm. Gen. Innovacin, Investigacin y Universidad
2016;5;54;FALSE;541;FALSE;5411;FALSE;Serv. G.  Innovacin, Investigacin y Universidad;Serv. G.  Innovacin, Investigacin y Universidad
2016;5;54;FALSE;542;FALSE;;TRUE;Invest Tcnica y Aplicada;Investigacin Tcnica y Aplicada
2016;5;54;FALSE;542;FALSE;5421;FALSE;Investigacin Agroalimentaria;Investigacin Agroalimentaria
2016;5;54;FALSE;542;FALSE;5422;FALSE;Inv Tecnolog Aplic Indust;Investigacin y Tecnologa Aplicada a la Industria
2016;5;54;FALSE;542;FALSE;5423;FALSE;Investigacin, Desarrollo e Innovac Tec;Investigacin, Desarrollo e Innovacin Tecnolgica
2016;5;54;FALSE;542;FALSE;5424;FALSE;Inves y Dllo Sdad. Informacin;Investigacin y Dllo. Sociedad de la Informacin
2016;5;54;FALSE;542;FALSE;5425;FALSE;Inves. y Des. Area de Salud;Investigacin y Desarrollo en el rea de la Salud
2016;5;54;FALSE;542;FALSE;5426;FALSE;Administracin electrnica;Administracin electrnica
2016;5;55;FALSE;;FALSE;;TRUE;Inform Bsica y Estadst;Informacin Bsica y Estadstica
2016;5;55;FALSE;551;TRUE;;TRUE;Estads, Cartogr y Meteor;Estadstica, Cartografa y Meteorologa
2016;5;55;FALSE;551;FALSE;5511;FALSE;Elaboracin y Difusin Estadstica;Elaboracin y Difusin Estadstica
2016;6;;TRUE;;FALSE;;TRUE;Reg Econom Carct General;Regulacin Econmica de Carcter General
2016;6;61;FALSE;;TRUE;;TRUE;Act Econmicas Generales;Actuaciones Econmicas Generales
2016;6;61;FALSE;611;TRUE;;TRUE;Admn Gen. Hacienda y Administracin Pblica;Ad. Gen.de Hacienda y Administracin Pblica
2016;6;61;FALSE;611;FALSE;6111;FALSE;Serv Generales Hacienda y Administracin Pblica;Serv. Gen. de Hacienda y Administracin Pblica
2016;6;61;FALSE;611;FALSE;6112;FALSE;Serv G. Economa, Industria y Empleo;Serv G. Economa, Industria y Empleo
2016;6;61;FALSE;612;FALSE;;TRUE;Regulac Econmica General;Regulacin Econmica General
2016;6;61;FALSE;612;FALSE;6121;FALSE;Planific.y Direcc Presup;Planificacin y Direccin Presupuestaria
2016;6;61;FALSE;612;FALSE;6122;FALSE;Promocin y Dllo Econm.;Promocin y Desarrollo Econmico
2016;6;61;FALSE;612;FALSE;6123;FALSE;Plan Minera del Carbn;Plan Minera del Carbn y Dllo Alternat Com.Min
2016;6;61;FALSE;612;FALSE;6124;FALSE;Corp. Empr. Pbl. Aragn;Corporacin Empresarial Pblica de Aragn
2016;6;61;FALSE;612;FALSE;6126;FALSE;Apoyo Dllo Econ y Social;Apoyo al Desarrollo Econmico y Social
2016;6;61;FALSE;612;FALSE;6127;FALSE;Gastos no clasificados;Gastos no clasificados
2016;6;61;FALSE;612;FALSE;6128;FALSE;Fondo Gastos Personal;Fondo de Gastos de Personal
2016;6;61;FALSE;612;FALSE;6129;FALSE;Fondo Contingencia;Fondo de Contingencia de Ejecucin Presupuestaria
2016;6;61;FALSE;615;FALSE;;TRUE;Asuntos de la C.E;Asuntos de la Comunidad Europea
2016;6;61;FALSE;615;FALSE;6152;FALSE;Act Programas Europeos;Actuaciones relativas a Programas Europeos
2016;6;62;FALSE;;FALSE;;TRUE;Comercio;Comercio
2016;6;62;FALSE;622;TRUE;;TRUE;Comercio Interior;Comercio Interior
2016;6;62;FALSE;622;FALSE;6221;FALSE;Ordcin y Prom Comercial;Ordenacin y Promocin Comercial
