EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2006;12500;705024;34027;P.R.O.D.E.R.;2.922.597,35
2006;12500;705025;34032;Indemnización compensatoria básica;2.611.500,00
2006;12500;705026;34016;Nuevas variedades vegetales;45.000,00
2006;12500;705027;34028;Planes de Asistencia Técnica y Gestión;9.500,00
2006;12500;706001;39002;Seguridad Minera;40.000,00
2006;12500;706002;39013;Plan consolidación y competitividad de las PYME;2.098.500,00
2006;12500;706003;39029;Convenio Teruel Ciudad Digital;805.660,00
2006;12500;706009;11005;Otras subvenciones de capital;9.800,00
2006;12500;706009;39028;Otras subvenciones de capital;360.607,26
2006;12500;709001;32200;Plan Especial de Teruel;30.050.606,00
2006;12500;709003;39004;Plan de Modernización Comercio Interior;350.000,00
2006;12500;719003;32100;Plan de la Minería;42.000.000,00
2006;12500;721009;35006;Otras Transf. de Capital (Plan gerontológico);1.057.000,00
2006;12500;780009;71002;Otras Transferencias De Familias Y Otras Instituc.;90.151,82
2006;12500;791000;12004;Medidas de Acompañamiento: Forestación;1.267.000,00
2006;12500;791001;12002;Medidas de Acompañamiento: Agroambientales;3.091.500,00
2006;12500;791001;12004;Medidas de Acompañamiento: Agroambientales;6.200.000,00
2006;12500;791002;12004;Medidas de Acompañamiento: Cese Anticipado;1.624.000,00
2006;12500;791003;12004;Medidas de Acompañamiento: Indem. Compens. Básica;5.223.000,00
2006;12500;791004;12003;Modernización explotaciones, incorporación jóvenes;6.550.000,00
2006;12500;791005;12003;Creación de regadíos;7.754.000,00
2006;12500;791006;12003;Modernización de regadíos;7.249.999,98
2006;12500;791007;12003;Plan Estratégico del Bajo Ebro Aragonés;4.629.407,22
2006;12500;791009;12002;P.D.R.- Diversif. actividades en el ámbito agrario;2.683.586,13
2006;12500;791010;12002;P.D.R.-  Dllo y mejora infraestr de produc agraria;1.431.500,00
2006;12500;791010;12003;P.D.R.-  Dllo y mejora infraestr de produc agraria;67.500,00
2006;12500;791011;12002;P.D.R.- Formación;1.073.367,49
2006;12500;791012;12002;P.D.R.- Transf. y comercializ. productos agrícolas;26.333.187,84
2006;12500;791013;12002;P.D.R.- Medidas forestales;8.245.504,50
2006;12500;791014;12002;P.D.R- Concentración parcelaria;4.499.551,10
2006;12500;791015;12002;P.D.R.- Serv. sustitución y gestión explotaciones;1.174.000,00
2006;12500;791016;12002;P.D.R.- Comercialización de productos de calidad;520.466,11
2006;12500;791017;12002;P.D.R.- Serv. básicos economía y población rural;8.164.652,89
2006;12500;791018;12002;P.D.R.- Protección del Medio Ambiente;4.668.187,60
2006;12500;791019;12002;P.D.R.-  Recuperación daños desastres naturales;2.638.608,74
2006;12500;791020;12005;Apicultura;220.000,00
2006;12500;791021;12001;Campaña contra la mosca del olivo;132.818,08
2006;12500;791099;12005;Otras transferencias de capital;16.176.000,00
2006;12500;791099;91003;Otras transferencias de capital;37.662.629,19
2006;12500;792000;14001;Fondo Europeo de Desarrollo Regional. Objetivo 2;11.076.046,23
2006;12500;792001;14002;Iniciativa Comunitaria INTERREG III;327.750,00
2006;12500;792099;91003;Otras transferencias de capital;30.144.999,00
2006;12500;793000;11001;Fondo Social Europeo- Objetivo 3;18.400,00
2006;12500;793000;11003;Fondo Social Europeo- Objetivo 3;106.392,00
2006;12500;794000;16001;Fondo de Cohesión;1.376.000,00
2006;12500;795000;15001;Instrumento Financiero de Ordenación Pesquera;4.349.100,00
2006;12500;799000;19002;Otras subvenciones del exterior;28.499,00
2006;12500;799000;91003;Otras subvenciones del exterior;14.000.000,00
2006;12500;821000;91003;Reintegros varios de préstamos a largo plazo;646.088,01
2006;12500;821001;91003;Reintegros préstamos, convenios con Ayuntamientos;3.867.323,87
2006;12500;900000;91003;Emisión de Deuda Pública- Ley de Presupuestos 2006;86.339.215,09
2006;12500;920000;91003;Préstamos recibidos Ley de Presupuestos 2006;37.447.152,97
2006;51000;413000;33001;Conferencia Sectorial de Empleo;57.994.839,80
2006;51000;413001;39008;Planes trabajo Centros Nacionales Formación Ocup.;500.000,00
2006;51000;708000;33001;Conferencia Sectorial de Empleo;469.753,00
2006;52000;315000;91003;S.A.S. Ingresos por servicios en hospitales;34.810.000,00
2006;53000;311001;91003;Prestación de Servicios en residencias;9.000.000,00
2006;53000;311003;91003;Prestación de Servicios centros sociales y clubs;400.000,00
2006;53000;395099;91003;Otras multas y sanciones;40.000,00
2006;53000;470009;71001;Otras subvenciones de empresas;126.212,52
2006;72000;221000;91003;Canon de Saneamiento;55.538.000,00
2006;72000;329001;91003;Tasa 01- Dirección e inspección de obras;800.000,00
2006;72000;329003;91003;Tasa 03- Serv.admvos, redacc. informes,activ. fac.;500,00
2006;72000;395008;91003;Multas y sanciones de Medio Ambiente;10.000,00
2006;72000;396008;91003;Ingresos diversos de Medio Ambiente;5.000,00
2006;72000;520000;91003;Intereses;200.000,00
2006;72000;792000;14001;Fondo Europeo de Desarrollo Regional. Objetivo 2;4.822.550,00
2006;72000;794000;16001;Fondo de Cohesión;11.142.197,00
2006;72000;821001;91003;Reintegros préstamos, convenios con Ayuntamientos;1.044.999,00
2006;72000;920000;91003;Préstamos recibidos Ley de Presupuestos 2006;713.536,00
2006;73000;393005;91003;Cursos y otros ingresos de Salud y Consumo;40.850,00
2006;73000;396005;91003;Ingresos diversos de Salud y Consumo;390.000,00
2006;73000;402000;39030;Plan nacional I+D;84.749,00
2006;73000;405099;39020;Otras subvenciones en materia de Salud y Consumo;1.976.949,00
2006;73000;405099;39031;Otras subvenciones en materia de Salud y Consumo;150.183,00
2006;73000;407099;39037;Otras subvenciones  Educación, Cultura y Deporte;12.000,00
2006;73000;470009;72001;Otras subvenciones de empresas;279.091,00
2006;73000;470009;72002;Otras subvenciones de empresas;98.698,00
