COD_LOCALE_PROGETTO;DATA_AGGIORNAMENTO;TOT_PAGAMENTI;OC_TOT_PAGAMENTI_RENDICONTAB_UE;OC_TOT_PAGAMENTI_FSC;OC_TOT_PAGAMENTI_PAC
17EM0240614;20100831;36108,43;36108,43;0;0
17EM0240614;20101031;36108,43;36108,43;0;0
17EM0240614;20101231;36108,43;36108,43;0;0
17EM0240614;20110228;36108,43;36108,43;0;0
17EM0240614;20110430;36108,43;36108,43;0;0
17EM0240614;20110630;36108,43;36108,43;0;0
17EM0240614;20110831;36108,43;36108,43;0;0
17EM0240614;20111031;36108,43;36108,43;0;0
17EM0240614;20111231;36108,43;36108,43;0;0
17EM0240614;20120229;36108,43;36108,43;0;0
17EM0240614;20120430;36108,43;36108,43;0;0
17EM0240614;20120630;36108,43;36108,43;0;0
17EM0240614;20120831;36108,43;36108,43;0;0
17EM0240614;20121031;36108,43;36108,43;0;0
17EM0240614;20121231;36108,43;36108,43;0;0
17EM0240614;20130228;36108,43;36108,43;0;0
17EM0240614;20130430;36108,43;36108,43;0;0
17EM0240614;20130630;36108,43;36108,43;0;0
17EM0240614;20130831;36108,43;36108,43;0;0
17EM0240614;20131031;36108,43;36108,43;0;0
17EM0240614;20131231;36108,43;36108,43;0;0
17EM0240614;20140228;36108,43;36108,43;0;0
17EM0240614;20140430;36108,43;36108,43;0;0
17EM0240614;20140630;36108,43;36108,43;0;0
17EM0240614;20140831;36108,43;36108,43;0;0
17EM0240614;20141031;36108,43;36108,43;0;0
17EM0240614;20141231;36108,43;36108,43;0;0
17EM0240614;20150228;36108,43;36108,43;0;0
17EM0240614;20150430;36108,43;36108,43;0;0
17EM0240614;20150630;36108,43;36108,43;0;0
17EM0240614;20150831;36108,43;36108,43;0;0
17EM0240614;20151031;36108,43;36108,43;0;0
17EM0240614;20151231;36108,43;36108,43;0;0
1BOPG-2/61/2010;20101231;0;0;0;0
1BOPG-2/61/2010;20110228;344903,95;344903,95;0;0
1BOPG-2/61/2010;20110430;344903,95;344903,95;0;0
1BOPG-2/61/2010;20110630;396178,67;396178,67;0;0
1BOPG-2/61/2010;20110831;425550,14;425550,14;0;0
1BOPG-2/61/2010;20111031;459871,93;459871,93;0;0
1BOPG-2/61/2010;20111231;459871,93;459871,93;0;0
1BOPG-2/61/2010;20120229;459871,93;459871,93;0;0
1BOPG-2/61/2010;20120430;459871,93;459871,93;0;0
1BOPG-2/61/2010;20120630;459871,93;459871,93;0;0
1BOPG-2/61/2010;20120831;459871,93;459871,93;0;0
1BOPG-2/61/2010;20121031;459871,93;459871,93;0;0
1BOPG-2/61/2010;20121231;459871,93;459871,93;0;0
1BOPG-2/61/2010;20130228;459871,93;459871,93;0;0
1BOPG-2/61/2010;20130430;459871,93;459871,93;0;0
1BOPG-2/61/2010;20130630;459871,93;459871,93;0;0
1BOPG-2/61/2010;20130831;459871,93;459871,93;0;0
1BOPG-2/61/2010;20131031;459871,93;459871,93;0;0
1BOPG-2/61/2010;20131231;459871,93;459871,93;0;0
1BOPG-2/61/2010;20140228;459871,93;459871,93;0;0
1BOPG-2/61/2010;20140430;459871,93;459871,93;0;0
1BOPG-2/61/2010;20140630;459871,93;459871,93;0;0
1BOPG-2/61/2010;20140831;459871,93;459871,93;0;0
1BOPG-2/61/2010;20141031;459871,93;459871,93;0;0
1BOPG-2/61/2010;20141231;459871,93;459871,93;0;0
1BOPG-2/61/2010;20150228;459871,93;459871,93;0;0
1BOPG-2/61/2010;20150430;459871,93;459871,93;0;0
1BOPG-2/61/2010;20150630;459871,93;459871,93;0;0
1BOPG-2/61/2010;20150831;459871,93;459871,93;0;0
1BOPG-2/61/2010;20151031;459871,93;459871,93;0;0
1BOPG-2/61/2010;20151231;459871,93;459871,93;0;0
1CA128C342007IT051PO001;20141031;0;0;0;0
1CA128C342007IT051PO001;20141231;2109,96;2109,96;0;0
1CA128C342007IT051PO001;20150228;2509,96;2509,96;0;0
1CA128C342007IT051PO001;20150430;5357,96;5357,96;0;0
1CA128C342007IT051PO001;20150630;6774,96;6774,96;0;0
1CA128C342007IT051PO001;20150831;6774,96;6774,96;0;0
1CA128C342007IT051PO001;20151031;6774,96;6774,96;0;0
1CA128C342007IT051PO001;20151231;6774,96;6774,96;0;0
1CA128C42007IT161PO009;20091031;0;0;0;0
1CA128C42007IT161PO009;20091231;36000;36000;0;0
1CA128C42007IT161PO009;20100228;51000;51000;0;0
1CA128C42007IT161PO009;20100430;55120;55120;0;0
1CA128C42007IT161PO009;20100630;56370;56370;0;0
1CA128C42007IT161PO009;20100831;66370;66370;0;0
1CA128C42007IT161PO009;20101031;78850;78850;0;0
1CA128C42007IT161PO009;20101231;91900;91900;0;0
1CA128C42007IT161PO009;20110228;91900;91900;0;0
1CA128C42007IT161PO009;20110430;91900;91900;0;0
1CA128C42007IT161PO009;20110630;91900;91900;0;0
1CA128C42007IT161PO009;20110831;91900;91900;0;0
1CA128C42007IT161PO009;20111031;91900;91900;0;0
1CA128C42007IT161PO009;20111231;91900;91900;0;0
1CA128C42007IT161PO009;20120229;91900;91900;0;0
1CA128C42007IT161PO009;20120430;91900;91900;0;0
1CA128C42007IT161PO009;20120630;91900;91900;0;0
1CA128C42007IT161PO009;20120831;91900;91900;0;0
1CA128C42007IT161PO009;20121031;91900;91900;0;0
1CA128C42007IT161PO009;20121231;91900;91900;0;0
1CA128C42007IT161PO009;20130228;91900;91900;0;0
1CA128C42007IT161PO009;20130430;91900;91900;0;0
1CA128C42007IT161PO009;20130630;91900;91900;0;0
1CA128C42007IT161PO009;20130831;91900;91900;0;0
1CA128C42007IT161PO009;20131031;91900;91900;0;0
1CA128C42007IT161PO009;20131231;91900;91900;0;0
1CA128C42007IT161PO009;20140228;91900;91900;0;0
1CA128C42007IT161PO009;20140430;91900;91900;0;0
1CA128C42007IT161PO009;20140630;91900;91900;0;0
1CA128C42007IT161PO009;20140831;91900;91900;0;0
1CA128C42007IT161PO009;20141031;91900;91900;0;0
1CA128C42007IT161PO009;20141231;91900;91900;0;0
1CA128C42007IT161PO009;20150228;91900;91900;0;0
1CA128C42007IT161PO009;20150430;91900;91900;0;0
1CA128C42007IT161PO009;20150630;91900;91900;0;0
1CA128C42007IT161PO009;20150831;91900;91900;0;0
1CA128C42007IT161PO009;20151031;91900;91900;0;0
1CA128C42007IT161PO009;20151231;91900;91900;0;0
1CA128C432007IT051PO001;20130228;0;0;0;0
1CA128C432007IT051PO001;20130430;8498,23;8498,23;0;0
1CA128C432007IT051PO001;20130630;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20130831;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20131031;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20131231;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20140228;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20140430;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20140630;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20140831;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20141031;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20141231;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20150228;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20150430;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20150630;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20150831;9582,52;9582,52;0;0
1CA128C432007IT051PO001;20151031;16698,02;16698,02;0;0
1CA128C432007IT051PO001;20151231;16698,02;16698,02;0;0
1CA128C482007IT051PO001;20120630;0;0;0;0
1CA128C482007IT051PO001;20120831;30000;30000;0;0
1CA128C482007IT051PO001;20121031;30000;30000;0;0
1CA128C482007IT051PO001;20121231;30000;30000;0;0
1CA128C482007IT051PO001;20130228;30000;30000;0;0
1CA128C482007IT051PO001;20130430;30000;30000;0;0
1CA128C482007IT051PO001;20130630;30000;30000;0;0
1CA128C482007IT051PO001;20130831;30000;30000;0;0
1CA128C482007IT051PO001;20131031;30000;30000;0;0
1CA128C482007IT051PO001;20131231;30000;30000;0;0
1CA128C482007IT051PO001;20140228;30000;30000;0;0
1CA128C482007IT051PO001;20140430;30000;30000;0;0
1CA128C482007IT051PO001;20140630;30000;30000;0;0
1CA128C482007IT051PO001;20140831;30000;30000;0;0
1CA128C482007IT051PO001;20141031;30000;30000;0;0
1CA128C482007IT051PO001;20141231;30000;30000;0;0
1CA128C482007IT051PO001;20150228;30000;30000;0;0
1CA128C482007IT051PO001;20150430;30000;30000;0;0
1CA128C482007IT051PO001;20150630;30000;30000;0;0
1CA128C482007IT051PO001;20150831;30000;30000;0;0
1CA128C482007IT051PO001;20151031;30000;30000;0;0
1CA128C482007IT051PO001;20151231;30000;30000;0;0
1CL99241;20100228;62775;62775;0;0
1CL99241;20100430;62775;62775;0;0
1CL99241;20100630;62775;62775;0;0
1CL99241;20100831;62775;62775;0;0
1CL99241;20101031;62775;62775;0;0
1CL99241;20101231;142761,17;142761,17;0;0
1CL99241;20110228;142761,17;142761,17;0;0
1CL99241;20110430;154618,85;154618,85;0;0
1CL99241;20110630;154618,85;154618,85;0;0
1CL99241;20110831;154618,85;154618,85;0;0
1CL99241;20111031;154618,85;154618,85;0;0
1CL99241;20111231;161801,51;161801,51;0;0
1CL99241;20120229;161801,51;161801,51;0;0
1CL99241;20120430;294198,19;294198,19;0;0
1CL99241;20120630;294198,19;294198,19;0;0
1CL99241;20120831;294198,19;294198,19;0;0
